# energy grid [eV]     epsr_x  epsr_y  epsr_z
#
    0.001000000******************************    7.901955782
    0.021038076 -324.159660010 -324.175755542    5.839581018
    0.041076152  -57.554870962  -57.560209316    5.683164384
    0.061114228  -10.470475472  -10.473343340    5.607239812
    0.081152305    3.946678954    3.944857416    5.552962940
    0.101190381    9.246180511    9.244964822    5.507808338
    0.121228457   11.159668451   11.158895637    5.467595931
    0.141266533   11.598398130   11.597995745    5.430726075
    0.161304609   11.333814342   11.333729170    5.396553387
    0.181342685   10.723420239   10.723590587    5.364703207
    0.201380762    9.955446135    9.955797547    5.334792475
    0.221418838    9.140839433    9.141293076    5.306417974
    0.241456914    8.347599274    8.348084958    5.279337140
    0.261494990    7.614265905    7.614732960    5.253748576
    0.281533066    6.958534797    6.958956247    5.230470776
    0.301571142    6.385809624    6.386179437    5.210765818
    0.321609218    5.896708445    5.897034944    5.195795057
    0.341647295    5.491425353    5.491723756    5.186070674
    0.361685371    5.171213318    5.171498578    5.181293409
    0.381723447    4.938755811    4.939036553    5.180593277
    0.401761523    4.797602302    4.797877410    5.182900499
    0.421799599    4.749917519    4.750176904    5.187216855
    0.441837675    4.793584547    4.793814009    5.192736843
    0.461875752    4.920932243    4.921119904    5.198870749
    0.481913828    5.119982881    5.120123591    5.205224459
    0.501951904    5.376966915    5.377062673    5.211557354
    0.521989980    5.678209658    5.678267007    5.217720117
    0.542028056    6.010626747    6.010653455    5.223588108
    0.562066132    6.361448594    6.361451257    5.229029455
    0.582104208    6.718014251    6.717997112    5.233932472
    0.602142285    7.067871602    7.067836230    5.238269524
    0.622180361    7.399094389    7.399039844    5.242150456
    0.642218437    7.700815217    7.700738538    5.245835743
    0.662256513    7.963964699    7.963861720    5.249704669
    0.682294589    8.181976649    8.181843165    5.254186047
    0.702332665    8.351185257    8.351018442    5.259668562
    0.722370741    8.471014097    8.470813949    5.266420423
    0.742408818    8.544221806    8.543992234    5.274547784
    0.762446894    8.576910591    8.576659650    5.283999136
    0.782484970    8.577617087    8.577356180    5.294599548
    0.802523046    8.555593929    8.555336229    5.306097010
    0.822561122    8.519352973    8.519111546    5.318212710
    0.842599198    8.476119172    8.475905112    5.330688541
    0.862637275    8.431746822    8.431567698    5.343324150
    0.882675351    8.390632392    8.390491538    5.356000839
    0.902713427    8.355847006    8.355743974    5.368691237
    0.922751503    8.329712187    8.329644082    5.381447578
    0.942789579    8.314538422    8.314501416    5.394363753
    0.962827655    8.313002259    8.312992692    5.407525137
    0.982865731    8.327862248    8.327877089    5.420975895
    1.002903808    8.361249382    8.361286136    5.434723178
    1.022941884    8.414051359    8.414107633    5.448769176
    1.042979960    8.485698889    8.485771967    5.463144952
    1.063018036    8.574320450    8.574407262    5.477929073
    1.083056112    8.677033740    8.677131306    5.493250063
    1.103094188    8.790158387    8.790264457    5.509266799
    1.123132265    8.909343957    8.909457346    5.526111242
    1.143170341    9.029734210    9.029854597    5.543806398
    1.163208417    9.146155709    9.146283029    5.562217602
    1.183246493    9.253219535    9.253353380    5.581086941
    1.203284569    9.345413376    9.345552677    5.600137987
    1.223322645    9.417460403    9.417603408    5.619187441
    1.243360721    9.465034547    9.465179032    5.638197330
    1.263398798    9.485508563    9.485652183    5.657236074
    1.283436874    9.478339259    9.478479883    5.676369036
    1.303474950    9.445085011    9.445220852    5.695544399
    1.323513026    9.389284828    9.389414294    5.714548114
    1.343551102    9.316140410    9.316261777    5.733060776
    1.363589178    9.231666077    9.231777167    5.750786765
    1.383627255    9.141208977    9.141307124    5.767583318
    1.403665331    9.047809509    9.047892075    5.783522854
    1.423703407    8.951261577    8.951326887    5.798872516
    1.443741483    8.848497843    8.848546002    5.814018377
    1.463779559    8.735171632    8.735204719    5.829361660
    1.483817635    8.607705774    8.607727397    5.845205781
    1.503855711    8.464921077    8.464935576    5.861661140
    1.523893788    8.308580371    8.308591916    5.878600576
    1.543931864    8.142914441    8.142926048    5.895687699
    1.563969940    7.973901001    7.973913580    5.912468406
    1.584008016    7.808747538    7.808759465    5.928480866
    1.604046092    7.655180118    7.655187863    5.943335547
    1.624084168    7.520236828    7.520236552    5.956733513
    1.644122244    7.409051186    7.409040490    5.968399816
    1.664160321    7.324176177    7.324155004    5.977939043
    1.684198397    7.265455110    7.265425414    5.984693882
    1.704236473    7.230279435    7.230244038    5.987722056
    1.724274549    7.214261208    7.214222631    5.985927218
    1.744312625    7.212329677    7.212289549    5.978272968
    1.764350701    7.219987705    7.219946819    5.964005771
    1.784388778    7.234270138    7.234228908    5.942878251
    1.804426854    7.254024786    7.253983798    5.915360075
    1.824464930    7.279433061    7.279393464    5.882712965
    1.844503006    7.311066562    7.311030079    5.846748546
    1.864541082    7.349028139    7.348996676    5.809277988
    1.884579158    7.392670573    7.392645647    5.771571252
    1.904617234    7.441030915    7.441013220    5.734176324
    1.924655311    7.493624256    7.493613561    5.697135717
    1.944693387    7.550933013    7.550928365    5.660336629
    1.964731463    7.614130535    7.614130607    5.623736022
    1.984769539    7.684182676    7.684186097    5.587448381
    2.004807615    7.760939763    7.760945309    5.551848000
    2.024845691    7.842775006    7.842781681    5.517719219
    2.044883768    7.926894553    7.926901627    5.486284785
    2.064921844    8.010033521    8.010040589    5.458966958
    2.084959920    8.089092616    8.089099739    5.436962785
    2.104997996    8.161434665    8.161442559    5.420859591
    2.125036072    8.224978950    8.224989073    5.410453118
    2.145074148    8.278487589    8.278501929    5.404799091
    2.165112224    8.322083013    8.322103568    5.402449042
    2.185150301    8.357424294    8.357452495    5.401750983
