# energy grid [eV]     epsr_x  epsr_y  epsr_z
#
    0.001000000******************************    6.570787379
    0.021038076 -997.785915736  -56.679976337    5.617813624
    0.041076152 -240.399682512   -5.853843445    5.548919184
    0.061114228  -96.026626088    3.654917726    5.521004819
    0.081152305  -46.108786041    6.875592209    5.506220617
    0.101190381  -23.664697277    8.287264825    5.497870187
    0.121228457  -11.923097525    8.996910464    5.493073984
    0.141266533   -5.125428553    9.379435561    5.490229920
    0.161304609   -0.887644995    9.589244913    5.488292522
    0.181342685    1.901325906    9.700271900    5.486521773
    0.201380762    3.796652460    9.752883732    5.484371824
    0.221418838    5.083077251    9.771351883    5.481421508
    0.241456914    5.905803351    9.770916850    5.477324484
    0.261494990    6.341617956    9.761244182    5.471759823
    0.281533066    6.444497284    9.748589001    5.464365445
    0.301571142    6.275188298    9.737199312    5.454677569
    0.321609218    5.914110609    9.729990145    5.442139000
    0.341647295    5.457340213    9.728686070    5.426217794
    0.361685371    5.000991443    9.733972807    5.406595546
    0.381723447    4.621871325    9.746064805    5.383322044
    0.401761523    4.362870360    9.765453236    5.356866589
    0.421799599    4.231401752    9.793225584    5.328084766
    0.441837675    4.211789660    9.830706872    5.298145837
    0.461875752    4.281859581    9.878804946    5.268399192
    0.481913828    4.422504947    9.937601007    5.240132249
    0.501951904    4.617644472   10.006347251    5.214300407
    0.521989980    4.850521726   10.083667203    5.191422247
    0.542028056    5.102590717   10.167722031    5.171705331
    0.562066132    5.355647262   10.256271970    5.155232528
    0.582104208    5.594193520   10.346696449    5.141987541
    0.602142285    5.806188201   10.436046292    5.131693137
    0.622180361    5.983160655   10.521140672    5.123673789
    0.642218437    6.121157239   10.598686708    5.116967052
    0.662256513    6.221925699   10.665427600    5.110688088
    0.682294589    6.292472094   10.718391003    5.104449294
    0.702332665    6.342481884   10.755323703    5.098594727
    0.722370741    6.381138212   10.775238499    5.094099741
    0.742408818    6.415270910   10.778749526    5.092168964
    0.762446894    6.449487099   10.767935226    5.093752340
    0.782484970    6.487524678   10.745928651    5.099238492
    0.802523046    6.533657136   10.716616391    5.108436883
    0.822561122    6.593167314   10.684410192    5.120770073
    0.842599198    6.671391181   10.653822772    5.135517503
    0.862637275    6.771859776   10.628958781    5.151995869
    0.882675351    6.894869314   10.613271564    5.169645721
    0.902713427    7.037413778   10.609571089    5.188048589
    0.922751503    7.194305237   10.619871253    5.206910386
    0.942789579    7.359644135   10.644787771    5.226035802
    0.962827655    7.527943251   10.682709447    5.245304920
    0.982865731    7.694680594   10.729328350    5.264655294
    1.002903808    7.856366075   10.777995401    5.284068342
    1.022941884    8.010302119   10.820954383    5.303556183
    1.042979960    8.154266097   10.851106239    5.323145407
    1.063018036    8.286303716   10.863642329    5.342858358
    1.083056112    8.404631471   10.856794834    5.362696742
    1.103094188    8.507550774   10.831431858    5.382631475
    1.123132265    8.593396613   10.790044828    5.402597886
    1.143170341    8.660609403   10.735868878    5.422494186
    1.163208417    8.707935949   10.672297001    5.442187255
    1.183246493    8.734732108   10.602401761    5.461534753
    1.203284569    8.741349256   10.528616457    5.480423380
    1.223322645    8.729477997   10.452729924    5.498802453
    1.243360721    8.702203012   10.376036214    5.516685969
    1.263398798    8.663630257   10.299339995    5.534120449
    1.283436874    8.618201424   10.222775185    5.551144571
    1.303474950    8.569944629   10.145603097    5.567766134
    1.323513026    8.521904326   10.066202938    5.583961493
    1.343551102    8.475909848    9.982496378    5.599691652
    1.363589178    8.432634992    9.892777881    5.614924367
    1.383627255    8.391767050    9.796365149    5.629638431
    1.403665331    8.352280302    9.693421743    5.643786517
    1.423703407    8.312979583    9.584082630    5.657229660
    1.443741483    8.273242214    9.467768303    5.669695266
    1.463779559    8.233538440    9.343394524    5.680799384
    1.483817635    8.195383936    9.210379786    5.690126482
    1.503855711    8.160808598    9.069826840    5.697329474
    1.523893788    8.131709775    8.925260248    5.702208453
    1.543931864    8.109373692    8.782536766    5.704736968
    1.563969940    8.094262901    8.648926564    5.705041154
    1.584008016    8.086104054    8.531801265    5.703367713
    1.604046092    8.084234653    8.437419975    5.700051723
    1.624084168    8.087992953    8.369996314    5.695458454
    1.644122244    8.096891796    8.331152495    5.689893939
    1.664160321    8.110561745    8.320004223    5.683529461
    1.684198397    8.128683868    8.333918060    5.676393010
    1.704236473    8.151031176    8.369510035    5.668440286
    1.724274549    8.177520334    8.423314529    5.659676553
    1.744312625    8.208157399    8.491936597    5.650282893
    1.764350701    8.242883816    8.571998453    5.640695476
    1.784388778    8.281440661    8.660275458    5.631588361
    1.804426854    8.323367281    8.754031005    5.623739424
    1.824464930    8.368114090    8.851218238    5.617806402
    1.844503006    8.415135400    8.950297819    5.614078159
    1.864541082    8.463855642    9.049762223    5.612301226
    1.884579158    8.513514705    9.147698990    5.611683492
    1.904617234    8.563027262    9.241661222    5.611095362
    1.924655311    8.611016996    9.328870774    5.609378580
    1.944693387    8.656017342    9.406644342    5.605631661
    1.964731463    8.696756422    9.472957595    5.599372022
    1.984769539    8.732632099    9.527066390    5.590539708
    2.004807615    8.764415360    9.569936734    5.579388796
    2.024845691    8.794699323    9.604055200    5.566364132
    2.044883768    8.827440595    9.632417956    5.552025494
    2.064921844    8.866609791    9.657129331    5.536992101
    2.084959920    8.914715593    9.678391505    5.521854277
    2.104997996    8.971968549    9.694353987    5.507069665
    2.125036072    9.036371800    9.701829854    5.492913950
    2.145074148    9.104664760    9.697637883    5.479514517
    2.165112224    9.173807825    9.680000240    5.466934310
    2.185150301    9.242412258    9.649159826    5.455260565
