# energy grid [eV]     epsr_x  epsr_y  epsr_z
#
    0.001000000******************************   10.693473385
    0.021038076 -220.431316113 -521.726896057    6.863527350
    0.041076152  -39.404972822 -112.379182910    6.478105101
    0.061114228   -6.085996972  -35.770819065    6.299375979
    0.081152305    4.792879078  -10.063382589    6.199462741
    0.101190381    9.268255907    0.934011487    6.137511756
    0.121228457   11.309437445    6.204705651    6.096463322
    0.141266533   12.263193098    8.820704108    6.067988183
    0.161304609   12.683261530   10.073045021    6.047403497
    0.181342685   12.829514518   10.595233580    6.031656907
    0.201380762   12.835097513   10.732995539    6.018507696
    0.221418838   12.770284794   10.681111691    6.006252647
    0.241456914   12.670538541   10.543518211    5.993690911
    0.261494990   12.552214125   10.369647548    5.980128968
    0.281533066   12.423500617   10.182153082    5.965283776
    0.301571142   12.291475652    9.996171180    5.949052302
    0.321609218   12.164729914    9.827227575    5.931278637
    0.341647295   12.052647387    9.689372676    5.911728074
    0.361685371   11.963613737    9.590235414    5.890359763
    0.381723447   11.903361573    9.528821264    5.867738738
    0.401761523   11.873212285    9.496594011    5.845255103
    0.421799599   11.868162214    9.479215356    5.824907240
    0.441837675   11.875759966    9.457513293    5.808715308
    0.461875752   11.876923242    9.408807267    5.798112480
    0.481913828   11.848953655    9.310476446    5.793652019
    0.501951904   11.769818095    9.146185037    5.795068089
    0.521989980   11.622394335    8.912801635    5.801485006
    0.542028056   11.398254644    8.624350424    5.811612798
    0.562066132   11.101633481    8.309813424    5.823909849
    0.582104208   10.753308241    8.004761972    5.836729859
    0.602142285   10.390715800    7.740681858    5.848449070
    0.622180361   10.059619252    7.537225234    5.857573813
    0.642218437    9.799091238    7.400311155    5.862831790
    0.662256513    9.629244751    7.325148202    5.863234353
    0.682294589    9.549050586    7.300981101    5.858106947
    0.702332665    9.542576907    7.314959435    5.847135377
    0.722370741    9.587368022    7.354621332    5.830490697
    0.742408818    9.660734879    7.409645771    5.809001470
    0.762446894    9.743222970    7.473092253    5.784206122
    0.782484970    9.820157307    7.541754022    5.758126704
    0.802523046    9.882133528    7.615482007    5.732815851
    0.822561122    9.924805897    7.695904999    5.709907041
    0.842599198    9.947987594    7.785075593    5.690349069
    0.862637275    9.954167651    7.884249355    5.674373803
    0.882675351    9.947052205    7.992961146    5.661669543
    0.902713427    9.930930613    8.108760335    5.651650982
    0.922751503    9.910926816    8.227767544    5.643672886
    0.942789579    9.893244205    8.345716715    5.637125992
    0.962827655    9.884458454    8.458920164    5.631483295
    0.982865731    9.889863638    8.564821546    5.626370765
    1.002903808    9.911890414    8.662152850    5.621637402
    1.022941884    9.949624875    8.750807605    5.617340738
    1.042979960    9.999541279    8.831518964    5.613603314
    1.063018036   10.056769669    8.905483594    5.610396741
    1.083056112   10.116166183    8.973977138    5.607407488
    1.103094188   10.172894165    9.037853241    5.604121474
    1.123132265   10.222672360    9.097050868    5.600099713
    1.143170341   10.262051021    9.150635947    5.595248512
    1.163208417   10.288917195    9.197642122    5.589882152
    1.183246493   10.302908889    9.238010942    5.584553238
    1.203284569   10.305092680    9.272544704    5.579813868
    1.223322645   10.296815438    9.301780215    5.576073226
    1.243360721   10.278652773    9.324918284    5.573569218
    1.263398798   10.250491039    9.339891110    5.572373466
    1.283436874   10.212584806    9.344486316    5.572387808
    1.303474950   10.166286486    9.337454382    5.573371590
    1.323513026   10.113507910    9.318611533    5.575040672
    1.343551102   10.055465502    9.287981484    5.577193720
    1.363589178    9.992113362    9.244941815    5.579758326
    1.383627255    9.922877337    9.188193350    5.582712871
    1.403665331    9.847788859    9.116402898    5.585973168
    1.423703407    9.767658062    9.028754467    5.589360538
    1.443741483    9.683027175    8.925010483    5.592648814
    1.463779559    9.592951174    8.805418567    5.595585288
    1.483817635    9.494731821    8.670925838    5.597831514
    1.503855711    9.384775416    8.523633470    5.598900025
    1.523893788    9.259930912    8.367076540    5.598197445
    1.543931864    9.118600418    8.206119383    5.595181489
    1.563969940    8.961380562    8.046511035    5.589532131
    1.584008016    8.791423802    7.894142489    5.581243023
    1.604046092    8.614611742    7.754115651    5.570609962
    1.624084168    8.439171545    7.630021315    5.558134778
    1.644122244    8.274328625    7.523875267    5.544394952
    1.664160321    8.128311833    7.436681722    5.529962740
    1.684198397    8.006696505    7.369062546    5.515412604
    1.704236473    7.911808557    7.321372756    5.501347023
    1.724274549    7.843105879    7.293175222    5.488346064
    1.744312625    7.798021338    7.282522620    5.476847710
    1.764350701    7.772832496    7.285745267    5.467062514
    1.784388778    7.763280166    7.298039825    5.459008138
    1.804426854    7.764788430    7.314489287    5.452640178
    1.824464930    7.772436213    7.330945554    5.447967491
    1.844503006    7.781095511    7.344493906    5.445059059
    1.864541082    7.785987013    7.353565127    5.443946653
    1.884579158    7.783436975    7.357900583    5.444512844
    1.904617234    7.771332830    7.358367811    5.446457706
    1.924655311    7.748996019    7.356426803    5.449354220
    1.944693387    7.716773738    7.353374777    5.452725548
    1.964731463    7.675842072    7.349843138    5.456092536
    1.984769539    7.628185263    7.345735312    5.459005195
    2.004807615    7.576358655    7.340415178    5.461103765
    2.024845691    7.522996104    7.333040129    5.462222420
    2.044883768    7.470361246    7.323094750    5.462474978
    2.064921844    7.420133306    7.311040539    5.462219758
    2.084959920    7.373422243    7.298707424    5.461857763
    2.104997996    7.330924731    7.288981157    5.461556326
    2.125036072    7.293104080    7.284758692    5.461081133
    2.145074148    7.260243259    7.287783946    5.459849079
    2.165112224    7.232247022    7.298148593    5.457151247
    2.185150301    7.208299368    7.314694970    5.452401942
